"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Kyrgyzstan",113,"Total renewable water resources",4188,2014,23.62,"I","",""
"Lao People's Democratic Republic",120,"Total renewable water resources",4188,2014,333.5,"I","",""
"Latvia",119,"Total renewable water resources",4188,2014,34.94,"I","",""
"Lebanon",121,"Total renewable water resources",4188,2014,4.503,"","",""
"Lesotho",122,"Total renewable water resources",4188,2014,3.022,"I","",""
"Liberia",123,"Total renewable water resources",4188,2014,232.0,"I","",""
"Libya",124,"Total renewable water resources",4188,2014,0.7,"I","",""
"Lithuania",126,"Total renewable water resources",4188,2014,24.5,"I","",""
"Luxembourg",256,"Total renewable water resources",4188,2014,3.5,"I","",""
"Madagascar",129,"Total renewable water resources",4188,2014,337.0,"","",""
"Malawi",130,"Total renewable water resources",4188,2014,17.28,"I","",""
"Malaysia",131,"Total renewable water resources",4188,2014,580.0,"I","",""
"Maldives",132,"Total renewable water resources",4188,2014,0.03,"","",""
"Mali",133,"Total renewable water resources",4188,2014,120.0,"I","",""
"Malta",134,"Total renewable water resources",4188,2014,0.0505,"","",""
"Mauritania",136,"Total renewable water resources",4188,2014,11.4,"I","",""
"Mauritius",137,"Total renewable water resources",4188,2014,2.751,"","",""
"Mexico",138,"Total renewable water resources",4188,2014,461.9,"","",""
"Mongolia",141,"Total renewable water resources",4188,2014,34.8,"I","",""
"Morocco",143,"Total renewable water resources",4188,2014,29.0,"I","",""
"Mozambique",144,"Total renewable water resources",4188,2014,217.1,"","",""
"Myanmar",28,"Total renewable water resources",4188,2014,1168.0,"I","",""
"Namibia",147,"Total renewable water resources",4188,2014,39.91,"","",""
"Nepal",149,"Total renewable water resources",4188,2014,210.2,"I","",""
"Netherlands",150,"Total renewable water resources",4188,2014,91.0,"I","",""
"New Zealand",156,"Total renewable water resources",4188,2014,327.0,"","[4]",""
"Nicaragua",157,"Total renewable water resources",4188,2014,164.5,"","",""
"Niger",158,"Total renewable water resources",4188,2014,34.05,"I","",""
"Nigeria",159,"Total renewable water resources",4188,2014,286.2,"I","",""
"Norway",162,"Total renewable water resources",4188,2014,393.0,"I","",""
"Occupied Palestinian Territory",299,"Total renewable water resources",4188,2014,0.837,"I","",""
"Oman",221,"Total renewable water resources",4188,2014,1.4,"I","",""
"Pakistan",165,"Total renewable water resources",4188,2014,246.8,"I","",""
"Panama",166,"Total renewable water resources",4188,2014,139.3,"","",""
"Papua New Guinea",168,"Total renewable water resources",4188,2014,801.0,"K","",""
"Paraguay",169,"Total renewable water resources",4188,2014,387.8,"","",""
"Peru",170,"Total renewable water resources",4188,2014,1880.0,"","",""
"Philippines",171,"Total renewable water resources",4188,2014,479.0,"","",""
"Poland",173,"Total renewable water resources",4188,2014,60.5,"I","",""
"Portugal",174,"Total renewable water resources",4188,2014,77.4,"I","",""
"Puerto Rico",177,"Total renewable water resources",4188,2014,7.1,"","",""
"Qatar",179,"Total renewable water resources",4188,2014,0.058,"","",""
"Republic of Korea",117,"Total renewable water resources",4188,2014,69.7,"I","",""
"Republic of Moldova",146,"Total renewable water resources",4188,2014,12.27,"I","",""
"Romania",183,"Total renewable water resources",4188,2014,212.0,"I","",""
"Russian Federation",185,"Total renewable water resources",4188,2014,4525.0,"I","",""
"Rwanda",184,"Total renewable water resources",4188,2014,13.3,"I","",""
"Saint Kitts and Nevis",188,"Total renewable water resources",4188,2014,0.024,"","",""
"Saint Lucia",189,"Total renewable water resources",4188,2014,0.3,"I","",""
"Saint Vincent and the Grenadines",191,"Total renewable water resources",4188,2014,0.1,"I","",""
"Sao Tome and Principe",193,"Total renewable water resources",4188,2014,2.18,"","",""
"Saudi Arabia",194,"Total renewable water resources",4188,2014,2.4,"I","",""
"Senegal",195,"Total renewable water resources",4188,2014,38.97,"I","",""
"Serbia",272,"Total renewable water resources",4188,2014,162.2,"E","",""
"Sierra Leone",197,"Total renewable water resources",4188,2014,160.0,"I","",""
"Singapore",200,"Total renewable water resources",4188,2014,0.6,"","",""
"Slovakia",199,"Total renewable water resources",4188,2014,50.1,"I","",""
"Slovenia",198,"Total renewable water resources",4188,2014,31.87,"I","",""
"Solomon Islands",25,"Total renewable water resources",4188,2014,44.7,"K","",""
"Somalia",201,"Total renewable water resources",4188,2014,14.7,"","",""
"South Africa",202,"Total renewable water resources",4188,2014,51.35,"I","",""
"South Sudan",277,"Total renewable water resources",4188,2014,49.5,"","",""
"Spain",203,"Total renewable water resources",4188,2014,111.5,"I","",""
"Sri Lanka",38,"Total renewable water resources",4188,2014,52.8,"","",""
"Sudan",276,"Total renewable water resources",4188,2014,37.8,"","",""
"Suriname",207,"Total renewable water resources",4188,2014,99.0,"","",""
"Sweden",210,"Total renewable water resources",4188,2014,174.0,"I","",""
"Switzerland",211,"Total renewable water resources",4188,2014,53.5,"I","",""
"Syrian Arab Republic",212,"Total renewable water resources",4188,2014,16.8,"I","",""
"Tajikistan",208,"Total renewable water resources",4188,2014,21.91,"I","",""
"Thailand",216,"Total renewable water resources",4188,2014,438.6,"I","",""
"The former Yugoslav Republic of Macedonia",154,"Total renewable water resources",4188,2014,6.4,"","",""
"Timor-Leste",176,"Total renewable water resources",4188,2014,8.215,"I","",""
"Togo",217,"Total renewable water resources",4188,2014,14.7,"I","",""
"Trinidad and Tobago",220,"Total renewable water resources",4188,2014,3.84,"","",""
"Tunisia",222,"Total renewable water resources",4188,2014,4.615,"","",""
"Turkey",223,"Total renewable water resources",4188,2014,211.6,"I","",""
"Turkmenistan",213,"Total renewable water resources",4188,2014,24.77,"I","",""
"Uganda",226,"Total renewable water resources",4188,2014,60.1,"I","",""
"Ukraine",230,"Total renewable water resources",4188,2014,175.3,"I","",""
"United Arab Emirates",225,"Total renewable water resources",4188,2014,0.15,"","",""
"United Kingdom",229,"Total renewable water resources",4188,2014,147.0,"I","",""
"United Republic of Tanzania",215,"Total renewable water resources",4188,2014,96.27,"I","",""
"United States of America",231,"Total renewable water resources",4188,2014,3069.0,"","",""
"Uruguay",234,"Total renewable water resources",4188,2014,172.2,"","",""
"Uzbekistan",235,"Total renewable water resources",4188,2014,48.87,"I","",""
"Vanuatu",155,"Total renewable water resources",4188,2014,10.0,"I","",""
"Venezuela (Bolivarian Republic of)",236,"Total renewable water resources",4188,2014,1325.0,"","",""
"Viet Nam",237,"Total renewable water resources",4188,2014,884.1,"","",""
"Yemen",249,"Total renewable water resources",4188,2014,2.1,"I","",""
"Zambia",251,"Total renewable water resources",4188,2014,104.8,"I","",""
"Zimbabwe",181,"Total renewable water resources",4188,2014,20.0,"","",""
